model,norm,seed,prop,auc
compare,l2,1,0.1,0.971944444444444
rank,l2,1,0.1,0.972361111111111
rank2,l2,1,0.1,0.957708333333333
truth,l2,1,0.1,0.975902777777778
compare,l1,1,0.1,0.951319444444444
rank,l1,1,0.1,0.927916666666667
rank2,l1,1,0.1,0.935277777777778
truth,l1,1,0.1,0.982083333333333
compare,linf,1,0.1,0.972361111111111
rank,linf,1,0.1,0.961597222222222
rank2,linf,1,0.1,0.971736111111111
truth,linf,1,0.1,0.984652777777778
compare,l2,2,0.1,0.994722222222222
rank,l2,2,0.1,0.990347222222222
rank2,l2,2,0.1,0.987708333333333
truth,l2,2,0.1,0.992916666666667
compare,l1,2,0.1,0.940069444444444
rank,l1,2,0.1,0.915
rank2,l1,2,0.1,0.933125
truth,l1,2,0.1,0.972430555555556
compare,linf,2,0.1,0.968194444444444
rank,linf,2,0.1,0.970486111111111
rank2,linf,2,0.1,0.969930555555556
truth,linf,2,0.1,0.984027777777778
compare,l2,3,0.1,0.975625
rank,l2,3,0.1,0.955902777777778
rank2,l2,3,0.1,0.974375
truth,l2,3,0.1,0.977777777777778
compare,l1,3,0.1,0.972152777777778
rank,l1,3,0.1,0.967569444444444
rank2,l1,3,0.1,0.957013888888889
truth,l1,3,0.1,0.989097222222222
compare,linf,3,0.1,0.957708333333333
rank,linf,3,0.1,0.926458333333333
rank2,linf,3,0.1,0.931527777777778
truth,linf,3,0.1,0.979583333333333
compare,l2,4,0.1,0.977569444444444
rank,l2,4,0.1,0.968958333333333
rank2,l2,4,0.1,0.971111111111111
truth,l2,4,0.1,0.99125
compare,l1,4,0.1,0.971597222222222
rank,l1,4,0.1,0.946736111111111
rank2,l1,4,0.1,0.963194444444444
truth,l1,4,0.1,0.982638888888889
compare,linf,4,0.1,0.972569444444444
rank,linf,4,0.1,0.960763888888889
rank2,linf,4,0.1,0.965625
truth,linf,4,0.1,0.984375
compare,l2,1,0.2,0.9827734375
rank,l2,1,0.2,0.9618359375
rank2,l2,1,0.2,0.97890625
truth,l2,1,0.2,0.9825
compare,l1,1,0.2,0.9526953125
rank,l1,1,0.2,0.905078125
rank2,l1,1,0.2,0.958359375
truth,l1,1,0.2,0.9843359375
compare,linf,1,0.2,0.9596875
rank,linf,1,0.2,0.95265625
rank2,linf,1,0.2,0.9666015625
truth,linf,1,0.2,0.9860546875
compare,l2,2,0.2,0.9783203125
rank,l2,2,0.2,0.9740625
rank2,l2,2,0.2,0.9619140625
truth,l2,2,0.2,0.983515625
compare,l1,2,0.2,0.950703125
rank,l1,2,0.2,0.9426171875
rank2,l1,2,0.2,0.9376953125
truth,l1,2,0.2,0.990234375
compare,linf,2,0.2,0.9469921875
rank,linf,2,0.2,0.9432421875
rank2,linf,2,0.2,0.9501171875
truth,linf,2,0.2,0.985625
compare,l2,3,0.2,0.98296875
rank,l2,3,0.2,0.981640625
rank2,l2,3,0.2,0.9838671875
truth,l2,3,0.2,0.9815625
compare,l1,3,0.2,0.9624609375
rank,l1,3,0.2,0.95921875
rank2,l1,3,0.2,0.960859375
truth,l1,3,0.2,0.98921875
compare,linf,3,0.2,0.953125
rank,linf,3,0.2,0.9380078125
rank2,linf,3,0.2,0.960859375
truth,linf,3,0.2,0.983125
compare,l2,4,0.2,0.96984375
rank,l2,4,0.2,0.9812109375
rank2,l2,4,0.2,0.9515625
truth,l2,4,0.2,0.982578125
compare,l1,4,0.2,0.9690234375
rank,l1,4,0.2,0.926015625
rank2,l1,4,0.2,0.96703125
truth,l1,4,0.2,0.9844921875
compare,linf,4,0.2,0.94890625
rank,linf,4,0.2,0.9292578125
rank2,linf,4,0.2,0.9319921875
truth,linf,4,0.2,0.9762109375
compare,l2,1,0.3,0.980476190476191
rank,l2,1,0.3,0.976309523809524
rank2,l2,1,0.3,0.979702380952381
truth,l2,1,0.3,0.983095238095238
compare,l1,1,0.3,0.95327380952381
rank,l1,1,0.3,0.907857142857143
rank2,l1,1,0.3,0.959702380952381
truth,l1,1,0.3,0.98125
compare,linf,1,0.3,0.9725
rank,linf,1,0.3,0.938839285714286
rank2,linf,1,0.3,0.950029761904762
truth,linf,1,0.3,0.987767857142857
compare,l2,2,0.3,0.979732142857143
rank,l2,2,0.3,0.979315476190476
rank2,l2,2,0.3,0.978333333333333
truth,l2,2,0.3,0.981755952380952
compare,l1,2,0.3,0.944047619047619
rank,l1,2,0.3,0.909077380952381
rank2,l1,2,0.3,0.946815476190476
truth,l1,2,0.3,0.98375
compare,linf,2,0.3,0.9575
rank,linf,2,0.3,0.940178571428571
rank2,linf,2,0.3,0.95139880952381
truth,linf,2,0.3,0.978809523809524
compare,l2,3,0.3,0.970089285714286
rank,l2,3,0.3,0.938452380952381
rank2,l2,3,0.3,0.945119047619048
truth,l2,3,0.3,0.975119047619048
compare,l1,3,0.3,0.965982142857143
rank,l1,3,0.3,0.925297619047619
rank2,l1,3,0.3,0.966994047619048
truth,l1,3,0.3,0.989434523809524
compare,linf,3,0.3,0.954642857142857
rank,linf,3,0.3,0.945416666666667
rank2,linf,3,0.3,0.954880952380952
truth,linf,3,0.3,0.98735119047619
compare,l2,4,0.3,0.992827380952381
rank,l2,4,0.3,0.981964285714286
rank2,l2,4,0.3,0.983333333333333
truth,l2,4,0.3,0.993511904761905
compare,l1,4,0.3,0.957083333333333
rank,l1,4,0.3,0.930714285714286
rank2,l1,4,0.3,0.952648809523809
truth,l1,4,0.3,0.985208333333333
compare,linf,4,0.3,0.973333333333333
rank,linf,4,0.3,0.949494047619048
rank2,linf,4,0.3,0.947589285714286
truth,linf,4,0.3,0.982053571428572
compare,l2,1,0.4,0.97375
rank,l2,1,0.4,0.977552083333333
rank2,l2,1,0.4,0.967786458333333
truth,l2,1,0.4,0.977473958333333
compare,l1,1,0.4,0.942109375
rank,l1,1,0.4,0.920572916666667
rank2,l1,1,0.4,0.944713541666667
truth,l1,1,0.4,0.979921875
compare,linf,1,0.4,0.961354166666667
rank,linf,1,0.4,0.941302083333333
rank2,linf,1,0.4,0.946197916666667
truth,linf,1,0.4,0.974322916666667
compare,l2,2,0.4,0.987838541666667
rank,l2,2,0.4,0.979427083333333
rank2,l2,2,0.4,0.983229166666667
truth,l2,2,0.4,0.985729166666667
compare,l1,2,0.4,0.949427083333333
rank,l1,2,0.4,0.908645833333333
rank2,l1,2,0.4,0.92953125
truth,l1,2,0.4,0.985286458333333
compare,linf,2,0.4,0.970052083333333
rank,linf,2,0.4,0.953046875
rank2,linf,2,0.4,0.961848958333333
truth,linf,2,0.4,0.984036458333333
compare,l2,3,0.4,0.974375
rank,l2,3,0.4,0.979921875
rank2,l2,3,0.4,0.983229166666667
truth,l2,3,0.4,0.984296875
compare,l1,3,0.4,0.978541666666667
rank,l1,3,0.4,0.929166666666667
rank2,l1,3,0.4,0.969505208333333
truth,l1,3,0.4,0.991901041666667
compare,linf,3,0.4,0.973723958333333
rank,linf,3,0.4,0.945833333333333
rank2,linf,3,0.4,0.956744791666667
truth,linf,3,0.4,0.982760416666667
compare,l2,4,0.4,0.972005208333333
rank,l2,4,0.4,0.961666666666667
rank2,l2,4,0.4,0.958645833333333
truth,l2,4,0.4,0.9784375
compare,l1,4,0.4,0.943333333333333
rank,l1,4,0.4,0.919010416666667
rank2,l1,4,0.4,0.948125
truth,l1,4,0.4,0.979088541666667
compare,linf,4,0.4,0.951901041666667
rank,linf,4,0.4,0.9203125
rank2,linf,4,0.4,0.944036458333333
truth,linf,4,0.4,0.982552083333333
compare,l2,1,0.5,0.983375
rank,l2,1,0.5,0.983825
rank2,l2,1,0.5,0.983575
truth,l2,1,0.5,0.98415
compare,l1,1,0.5,0.972075
rank,l1,1,0.5,0.947025
rank2,l1,1,0.5,0.96935
truth,l1,1,0.5,0.98885
compare,linf,1,0.5,0.95885
rank,linf,1,0.5,0.9171
rank2,linf,1,0.5,0.929275
truth,linf,1,0.5,0.978175
compare,l2,2,0.5,0.9765
rank,l2,2,0.5,0.9741
rank2,l2,2,0.5,0.97255
truth,l2,2,0.5,0.98295
compare,l1,2,0.5,0.95115
rank,l1,2,0.5,0.917425
rank2,l1,2,0.5,0.945675
truth,l1,2,0.5,0.982325
compare,linf,2,0.5,0.9596
rank,linf,2,0.5,0.93595
rank2,linf,2,0.5,0.9564
truth,linf,2,0.5,0.98305
compare,l2,3,0.5,0.964175
rank,l2,3,0.5,0.96005
rank2,l2,3,0.5,0.962375
truth,l2,3,0.5,0.965375
compare,l1,3,0.5,0.9654
rank,l1,3,0.5,0.922925
rank2,l1,3,0.5,0.952975
truth,l1,3,0.5,0.977475
compare,linf,3,0.5,0.9607
rank,linf,3,0.5,0.896125
rank2,linf,3,0.5,0.937175
truth,linf,3,0.5,0.983075
compare,l2,4,0.5,0.9871
rank,l2,4,0.5,0.98855
rank2,l2,4,0.5,0.9822
truth,l2,4,0.5,0.98925
compare,l1,4,0.5,0.95855
rank,l1,4,0.5,0.925075
rank2,l1,4,0.5,0.9482
truth,l1,4,0.5,0.980975
compare,linf,4,0.5,0.962
rank,linf,4,0.5,0.914075
rank2,linf,4,0.5,0.9558
truth,linf,4,0.5,0.983625
compare,l2,1,0.6,0.980442708333333
rank,l2,1,0.6,0.980260416666667
rank2,l2,1,0.6,0.975625
truth,l2,1,0.6,0.983489583333333
compare,l1,1,0.6,0.950703125
rank,l1,1,0.6,0.877838541666667
rank2,l1,1,0.6,0.959583333333333
truth,l1,1,0.6,0.985052083333333
compare,linf,1,0.6,0.973359375
rank,linf,1,0.6,0.909479166666667
rank2,linf,1,0.6,0.965052083333333
truth,linf,1,0.6,0.980885416666667
compare,l2,2,0.6,0.984765625
rank,l2,2,0.6,0.977734375
rank2,l2,2,0.6,0.981328125
truth,l2,2,0.6,0.989661458333333
compare,l1,2,0.6,0.946145833333333
rank,l1,2,0.6,0.886536458333333
rank2,l1,2,0.6,0.941614583333333
truth,l1,2,0.6,0.981041666666667
compare,linf,2,0.6,0.968697916666667
rank,linf,2,0.6,0.916510416666667
rank2,linf,2,0.6,0.96125
truth,linf,2,0.6,0.982890625
compare,l2,3,0.6,0.983307291666667
rank,l2,3,0.6,0.982317708333333
rank2,l2,3,0.6,0.983098958333333
truth,l2,3,0.6,0.983854166666667
compare,l1,3,0.6,0.958619791666667
rank,l1,3,0.6,0.916354166666667
rank2,l1,3,0.6,0.968776041666667
truth,l1,3,0.6,0.988177083333333
compare,linf,3,0.6,0.971328125
rank,linf,3,0.6,0.929427083333333
rank2,linf,3,0.6,0.953802083333333
truth,linf,3,0.6,0.986953125
compare,l2,4,0.6,0.98140625
rank,l2,4,0.6,0.982161458333333
rank2,l2,4,0.6,0.962447916666667
truth,l2,4,0.6,0.984270833333333
compare,l1,4,0.6,0.965703125
rank,l1,4,0.6,0.881953125
rank2,l1,4,0.6,0.958697916666667
truth,l1,4,0.6,0.985911458333333
compare,linf,4,0.6,0.959713541666667
rank,linf,4,0.6,0.935572916666667
rank2,linf,4,0.6,0.948671875
truth,linf,4,0.6,0.984348958333333
compare,l2,1,0.7,0.975180072028811
rank,l2,1,0.7,0.968997599039616
rank2,l2,1,0.7,0.97515006002401
truth,l2,1,0.7,0.976590636254502
compare,l1,1,0.7,0.948679471788715
rank,l1,1,0.7,0.858223289315726
rank2,l1,1,0.7,0.949159663865546
truth,l1,1,0.7,0.981362545018007
compare,linf,1,0.7,0.96905762304922
rank,linf,1,0.7,0.8953181272509
rank2,linf,1,0.7,0.966326530612245
truth,linf,1,0.7,0.982262905162065
compare,l2,2,0.7,0.986944777911165
rank,l2,2,0.7,0.982082833133253
rank2,l2,2,0.7,0.981422569027611
truth,l2,2,0.7,0.986824729891957
compare,l1,2,0.7,0.948169267707083
rank,l1,2,0.7,0.887605042016807
rank2,l1,2,0.7,0.942046818727491
truth,l1,2,0.7,0.987364945978391
compare,linf,2,0.7,0.977160864345738
rank,linf,2,0.7,0.895528211284514
rank2,linf,2,0.7,0.913565426170468
truth,linf,2,0.7,0.987665066026411
compare,l2,3,0.7,0.974969987995198
rank,l2,3,0.7,0.968727490996399
rank2,l2,3,0.7,0.969597839135654
truth,l2,3,0.7,0.977430972388956
compare,l1,3,0.7,0.919627851140456
rank,l1,3,0.7,0.8468787515006
rank2,l1,3,0.7,0.899189675870348
truth,l1,3,0.7,0.9734393757503
compare,linf,3,0.7,0.95921368547419
rank,linf,3,0.7,0.884363745498199
rank2,linf,3,0.7,0.952430972388956
truth,linf,3,0.7,0.980192076830732
compare,l2,4,0.7,0.984663865546219
rank,l2,4,0.7,0.966656662665066
rank2,l2,4,0.7,0.981932773109244
truth,l2,4,0.7,0.985894357743097
compare,l1,4,0.7,0.945648259303722
rank,l1,4,0.7,0.936704681872749
rank2,l1,4,0.7,0.944717887154862
truth,l1,4,0.7,0.975360144057623
compare,linf,4,0.7,0.967737094837935
rank,linf,4,0.7,0.90672268907563
rank2,linf,4,0.7,0.953931572629052
truth,linf,4,0.7,0.986074429771909
compare,l2,1,0.8,0.975079113924051
rank,l2,1,0.8,0.969818037974684
rank2,l2,1,0.8,0.970490506329114
truth,l2,1,0.8,0.980261075949367
compare,l1,1,0.8,0.917919303797468
rank,l1,1,0.8,0.886471518987342
rank2,l1,1,0.8,0.938884493670886
truth,l1,1,0.8,0.979469936708861
compare,linf,1,0.8,0.978837025316456
rank,linf,1,0.8,0.90870253164557
rank2,linf,1,0.8,0.96376582278481
truth,linf,1,0.8,0.986352848101266
compare,l2,2,0.8,0.972666139240506
rank,l2,2,0.8,0.970292721518987
rank2,l2,2,0.8,0.976621835443038
truth,l2,2,0.8,0.981091772151899
compare,l1,2,0.8,0.936946202531646
rank,l1,2,0.8,0.885443037974684
rank2,l1,2,0.8,0.923773734177215
truth,l1,2,0.8,0.976819620253165
compare,linf,2,0.8,0.970767405063291
rank,linf,2,0.8,0.887776898734177
rank2,linf,2,0.8,0.971558544303798
truth,linf,2,0.8,0.990743670886076
compare,l2,3,0.8,0.977927215189873
rank,l2,3,0.8,0.976424050632911
rank2,l2,3,0.8,0.977768987341772
truth,l2,3,0.8,0.981962025316456
compare,l1,3,0.8,0.94932753164557
rank,l1,3,0.8,0.881526898734177
rank2,l1,3,0.8,0.930696202531646
truth,l1,3,0.8,0.989675632911392
compare,linf,3,0.8,0.925949367088608
rank,linf,3,0.8,0.875751582278481
rank2,linf,3,0.8,0.90996835443038
truth,linf,3,0.8,0.976780063291139
compare,l2,4,0.8,0.979628164556962
rank,l2,4,0.8,0.971835443037975
rank2,l2,4,0.8,0.978520569620253
truth,l2,4,0.8,0.982357594936709
compare,l1,4,0.8,0.960284810126582
rank,l1,4,0.8,0.811392405063291
rank2,l1,4,0.8,0.967128164556962
truth,l1,4,0.8,0.990427215189873
compare,linf,4,0.8,0.952610759493671
rank,linf,4,0.8,0.896123417721519
rank2,linf,4,0.8,0.946044303797468
truth,linf,4,0.8,0.974011075949367
compare,l2,1,0.9,0.973717948717949
rank,l2,1,0.9,0.973931623931624
rank2,l2,1,0.9,0.977492877492877
truth,l2,1,0.9,0.988390313390313
compare,l1,1,0.9,0.916880341880342
rank,l1,1,0.9,0.86460113960114
rank2,l1,1,0.9,0.921296296296296
truth,l1,1,0.9,0.986609686609687
compare,linf,1,0.9,0.963176638176638
rank,linf,1,0.9,0.88974358974359
rank2,linf,1,0.9,0.948148148148148
truth,linf,1,0.9,0.986039886039886
compare,l2,2,0.9,0.987250712250712
rank,l2,2,0.9,0.959401709401709
rank2,l2,2,0.9,0.972649572649573
truth,l2,2,0.9,0.987535612535613
compare,l1,2,0.9,0.941880341880342
rank,l1,2,0.9,0.885042735042735
rank2,l1,2,0.9,0.959045584045584
truth,l1,2,0.9,0.970655270655271
compare,linf,2,0.9,0.976495726495726
rank,linf,2,0.9,0.893304843304843
rank2,linf,2,0.9,0.954059829059829
truth,linf,2,0.9,0.985968660968661
compare,l2,3,0.9,0.988603988603989
rank,l2,3,0.9,0.983475783475783
rank2,l2,3,0.9,0.987535612535613
truth,l2,3,0.9,0.992094017094017
compare,l1,3,0.9,0.91994301994302
rank,l1,3,0.9,0.868518518518518
rank2,l1,3,0.9,0.927065527065527
truth,l1,3,0.9,0.970014245014245
compare,linf,3,0.9,0.907264957264957
rank,linf,3,0.9,0.856125356125356
rank2,linf,3,0.9,0.884259259259259
truth,linf,3,0.9,0.956339031339031
compare,l2,4,0.9,0.967521367521368
rank,l2,4,0.9,0.950071225071225
rank2,l2,4,0.9,0.960754985754986
truth,l2,4,0.9,0.973789173789174
compare,l1,4,0.9,0.966310541310541
rank,l1,4,0.9,0.917307692307692
rank2,l1,4,0.9,0.945797720797721
truth,l1,4,0.9,0.994871794871795
compare,linf,4,0.9,0.939031339031339
rank,linf,4,0.9,0.886680911680912
rank2,linf,4,0.9,0.926282051282051
truth,linf,4,0.9,0.96517094017094
