bases.per.probe,segments,cost,type,error
374,1,-0.326115230882168,Signal,E
374,2,-0.610278025256498,Signal,E
374,3,-0.537938961940425,Signal,E
374,4,-0.651414076301134,Signal,E
374,5,-0.834675833185341,Signal,E
374,6,-0.647721896429582,Signal,E
374,7,-0.808740214287615,Signal,E
374,8,-0.790474963734911,Signal,E
374,9,-0.689306446538873,Signal,E
374,10,-0.651530033207251,Signal,E
374,11,-0.600321873312924,Signal,E
374,12,-0.573811405886459,Signal,E
374,13,-0.535734852194289,Signal,E
374,14,-0.512792839222529,Signal,E
374,15,-0.494850555209704,Signal,E
374,16,-0.466478129287423,Signal,E
374,17,-0.459306914134982,Signal,E
374,18,-0.436684645137786,Signal,E
374,19,-0.418305227505856,Signal,E
374,20,-0.404293265485252,Signal,E
374,1,0,Breakpoint,FP
374,2,0,Breakpoint,FP
374,3,0,Breakpoint,FP
374,4,0,Breakpoint,FP
374,5,0,Breakpoint,FP
374,6,0,Breakpoint,FP
374,7,0,Breakpoint,FP
374,8,1,Breakpoint,FP
374,9,2,Breakpoint,FP
374,10,3,Breakpoint,FP
374,11,4,Breakpoint,FP
374,12,5,Breakpoint,FP
374,13,6,Breakpoint,FP
374,14,7,Breakpoint,FP
374,15,8,Breakpoint,FP
374,16,9,Breakpoint,FP
374,17,10,Breakpoint,FP
374,18,11,Breakpoint,FP
374,19,12,Breakpoint,FP
374,20,13,Breakpoint,FP
374,1,6,Breakpoint,FN
374,2,5,Breakpoint,FN
374,3,4,Breakpoint,FN
374,4,3,Breakpoint,FN
374,5,2,Breakpoint,FN
374,6,1,Breakpoint,FN
374,7,0,Breakpoint,FN
374,8,0,Breakpoint,FN
374,9,0,Breakpoint,FN
374,10,0,Breakpoint,FN
374,11,0,Breakpoint,FN
374,12,0,Breakpoint,FN
374,13,0,Breakpoint,FN
374,14,0,Breakpoint,FN
374,15,0,Breakpoint,FN
374,16,0,Breakpoint,FN
374,17,0,Breakpoint,FN
374,18,0,Breakpoint,FN
374,19,0,Breakpoint,FN
374,20,0,Breakpoint,FN
374,1,0,Breakpoint,I
374,2,0.1452,Breakpoint,I
374,3,1.08617527505501,Breakpoint,I
374,4,1.23939059658716,Breakpoint,I
374,5,0.610415321532153,Breakpoint,I
374,6,1.77683788604506,Breakpoint,I
374,7,1.14786261099004,Breakpoint,I
374,8,1.29846261099004,Breakpoint,I
374,9,1.29846261099004,Breakpoint,I
374,10,1.09387225291843,Breakpoint,I
374,11,1.09387225291843,Breakpoint,I
374,12,1.09387225291843,Breakpoint,I
374,13,1.09387225291843,Breakpoint,I
374,14,1.09387225291843,Breakpoint,I
374,15,1.09387225291843,Breakpoint,I
374,16,1.09387225291843,Breakpoint,I
374,17,1.09387225291843,Breakpoint,I
374,18,1.09387225291843,Breakpoint,I
374,19,1.09387225291843,Breakpoint,I
374,20,1.09387225291843,Breakpoint,I
374,1,6,Breakpoint,E
374,2,5.1452,Breakpoint,E
374,3,5.08617527505501,Breakpoint,E
374,4,4.23939059658716,Breakpoint,E
374,5,2.61041532153215,Breakpoint,E
374,6,2.77683788604506,Breakpoint,E
374,7,1.14786261099004,Breakpoint,E
374,8,2.29846261099005,Breakpoint,E
374,9,3.29846261099005,Breakpoint,E
374,10,4.09387225291843,Breakpoint,E
374,11,5.09387225291843,Breakpoint,E
374,12,6.09387225291843,Breakpoint,E
374,13,7.09387225291843,Breakpoint,E
374,14,8.09387225291843,Breakpoint,E
374,15,9.09387225291843,Breakpoint,E
374,16,10.0938722529184,Breakpoint,E
374,17,11.0938722529184,Breakpoint,E
374,18,12.0938722529184,Breakpoint,E
374,19,13.0938722529184,Breakpoint,E
374,20,14.0938722529184,Breakpoint,E
374,1,6,Complete,FN
374,2,5,Complete,FN
374,3,5,Complete,FN
374,4,4,Complete,FN
374,5,2,Complete,FN
374,6,2,Complete,FN
374,7,0,Complete,FN
374,8,0,Complete,FN
374,9,0,Complete,FN
374,10,0,Complete,FN
374,11,0,Complete,FN
374,12,0,Complete,FN
374,13,0,Complete,FN
374,14,0,Complete,FN
374,15,0,Complete,FN
374,16,0,Complete,FN
374,17,0,Complete,FN
374,18,0,Complete,FN
374,19,0,Complete,FN
374,20,0,Complete,FN
374,1,0,Complete,FP
374,2,0,Complete,FP
374,3,1,Complete,FP
374,4,1,Complete,FP
374,5,0,Complete,FP
374,6,1,Complete,FP
374,7,0,Complete,FP
374,8,1,Complete,FP
374,9,2,Complete,FP
374,10,3,Complete,FP
374,11,4,Complete,FP
374,12,5,Complete,FP
374,13,6,Complete,FP
374,14,7,Complete,FP
374,15,8,Complete,FP
374,16,9,Complete,FP
374,17,10,Complete,FP
374,18,11,Complete,FP
374,19,12,Complete,FP
374,20,13,Complete,FP
374,1,6,Complete,E
374,2,5,Complete,E
374,3,6,Complete,E
374,4,5,Complete,E
374,5,2,Complete,E
374,6,3,Complete,E
374,7,0,Complete,E
374,8,1,Complete,E
374,9,2,Complete,E
374,10,3,Complete,E
374,11,4,Complete,E
374,12,5,Complete,E
374,13,6,Complete,E
374,14,7,Complete,E
374,15,8,Complete,E
374,16,9,Complete,E
374,17,10,Complete,E
374,18,11,Complete,E
374,19,12,Complete,E
374,20,13,Complete,E
374,1,3,Incomplete,FN
374,2,3,Incomplete,FN
374,3,2,Incomplete,FN
374,4,2,Incomplete,FN
374,5,1,Incomplete,FN
374,6,1,Incomplete,FN
374,7,0,Incomplete,FN
374,8,0,Incomplete,FN
374,9,0,Incomplete,FN
374,10,0,Incomplete,FN
374,11,0,Incomplete,FN
374,12,0,Incomplete,FN
374,13,0,Incomplete,FN
374,14,0,Incomplete,FN
374,15,0,Incomplete,FN
374,16,0,Incomplete,FN
374,17,0,Incomplete,FN
374,18,0,Incomplete,FN
374,19,0,Incomplete,FN
374,20,0,Incomplete,FN
374,1,0,Incomplete,FP
374,2,0,Incomplete,FP
374,3,0,Incomplete,FP
374,4,0,Incomplete,FP
374,5,0,Incomplete,FP
374,6,0,Incomplete,FP
374,7,0,Incomplete,FP
374,8,1,Incomplete,FP
374,9,2,Incomplete,FP
374,10,3,Incomplete,FP
374,11,4,Incomplete,FP
374,12,4,Incomplete,FP
374,13,6,Incomplete,FP
374,14,6,Incomplete,FP
374,15,7,Incomplete,FP
374,16,6,Incomplete,FP
374,17,9,Incomplete,FP
374,18,8,Incomplete,FP
374,19,9,Incomplete,FP
374,20,9,Incomplete,FP
374,1,3,Incomplete,E
374,2,3,Incomplete,E
374,3,2,Incomplete,E
374,4,2,Incomplete,E
374,5,1,Incomplete,E
374,6,1,Incomplete,E
374,7,0,Incomplete,E
374,8,1,Incomplete,E
374,9,2,Incomplete,E
374,10,3,Incomplete,E
374,11,4,Incomplete,E
374,12,4,Incomplete,E
374,13,6,Incomplete,E
374,14,6,Incomplete,E
374,15,7,Incomplete,E
374,16,6,Incomplete,E
374,17,9,Incomplete,E
374,18,8,Incomplete,E
374,19,9,Incomplete,E
374,20,9,Incomplete,E
374,1,3,Positive,FN
374,2,3,Positive,FN
374,3,2,Positive,FN
374,4,2,Positive,FN
374,5,1,Positive,FN
374,6,1,Positive,FN
374,7,0,Positive,FN
374,8,0,Positive,FN
374,9,0,Positive,FN
374,10,0,Positive,FN
374,11,0,Positive,FN
374,12,0,Positive,FN
374,13,0,Positive,FN
374,14,0,Positive,FN
374,15,0,Positive,FN
374,16,0,Positive,FN
374,17,0,Positive,FN
374,18,0,Positive,FN
374,19,0,Positive,FN
374,20,0,Positive,FN
374,1,0,Positive,FP
374,2,0,Positive,FP
374,3,0,Positive,FP
374,4,0,Positive,FP
374,5,0,Positive,FP
374,6,0,Positive,FP
374,7,0,Positive,FP
374,8,0,Positive,FP
374,9,0,Positive,FP
374,10,1,Positive,FP
374,11,2,Positive,FP
374,12,2,Positive,FP
374,13,2,Positive,FP
374,14,2,Positive,FP
374,15,3,Positive,FP
374,16,2,Positive,FP
374,17,5,Positive,FP
374,18,2,Positive,FP
374,19,5,Positive,FP
374,20,5,Positive,FP
374,1,3,Positive,E
374,2,3,Positive,E
374,3,2,Positive,E
374,4,2,Positive,E
374,5,1,Positive,E
374,6,1,Positive,E
374,7,0,Positive,E
374,8,0,Positive,E
374,9,0,Positive,E
374,10,1,Positive,E
374,11,2,Positive,E
374,12,2,Positive,E
374,13,2,Positive,E
374,14,2,Positive,E
374,15,3,Positive,E
374,16,2,Positive,E
374,17,5,Positive,E
374,18,2,Positive,E
374,19,5,Positive,E
374,20,5,Positive,E
7,1,-0.326217835717575,Signal,E
7,2,-0.627570566943352,Signal,E
7,3,-0.765207062943085,Signal,E
7,4,-0.967602489369565,Signal,E
7,5,-1.1260926706581,Signal,E
7,6,-1.4780767628654,Signal,E
7,7,-2.52902053262428,Signal,E
7,8,-2.39843686401405,Signal,E
7,9,-2.26550008384409,Signal,E
7,10,-2.15896751828275,Signal,E
7,11,-2.10904496389741,Signal,E
7,12,-2.03207380635079,Signal,E
7,13,-1.99776005066119,Signal,E
7,14,-1.94290563706649,Signal,E
7,15,-1.90651917317346,Signal,E
7,16,-1.86724402642112,Signal,E
7,17,-1.8434772260196,Signal,E
7,18,-1.81627894350454,Signal,E
7,19,-1.78410695888179,Signal,E
7,20,-1.76359547381397,Signal,E
7,1,0,Breakpoint,FP
7,2,0,Breakpoint,FP
7,3,0,Breakpoint,FP
7,4,0,Breakpoint,FP
7,5,0,Breakpoint,FP
7,6,0,Breakpoint,FP
7,7,0,Breakpoint,FP
7,8,1,Breakpoint,FP
7,9,2,Breakpoint,FP
7,10,3,Breakpoint,FP
7,11,4,Breakpoint,FP
7,12,5,Breakpoint,FP
7,13,6,Breakpoint,FP
7,14,7,Breakpoint,FP
7,15,8,Breakpoint,FP
7,16,9,Breakpoint,FP
7,17,10,Breakpoint,FP
7,18,11,Breakpoint,FP
7,19,12,Breakpoint,FP
7,20,13,Breakpoint,FP
7,1,6,Breakpoint,FN
7,2,5,Breakpoint,FN
7,3,4,Breakpoint,FN
7,4,3,Breakpoint,FN
7,5,2,Breakpoint,FN
7,6,1,Breakpoint,FN
7,7,0,Breakpoint,FN
7,8,0,Breakpoint,FN
7,9,0,Breakpoint,FN
7,10,0,Breakpoint,FN
7,11,0,Breakpoint,FN
7,12,0,Breakpoint,FN
7,13,0,Breakpoint,FN
7,14,0,Breakpoint,FN
7,15,0,Breakpoint,FN
7,16,0,Breakpoint,FN
7,17,0,Breakpoint,FN
7,18,0,Breakpoint,FN
7,19,0,Breakpoint,FN
7,20,0,Breakpoint,FN
7,1,0,Breakpoint,I
7,2,0.0032,Breakpoint,I
7,3,0.000900130021003701,Breakpoint,I
7,4,0.0066000800160032,Breakpoint,I
7,5,0.0053001300210037,Breakpoint,I
7,6,0.0317054110772149,Breakpoint,I
7,7,0.0353067313412678,Breakpoint,I
7,8,0.0353067313412678,Breakpoint,I
7,9,0.0353067313412678,Breakpoint,I
7,10,0.0353067313412678,Breakpoint,I
7,11,0.0353067313412678,Breakpoint,I
7,12,0.0353067313412678,Breakpoint,I
7,13,0.0327056111172229,Breakpoint,I
7,14,0.0353067313412678,Breakpoint,I
7,15,0.0353067313412678,Breakpoint,I
7,16,0.0353067313412678,Breakpoint,I
7,17,0.0327056111172229,Breakpoint,I
7,18,0.0327056111172229,Breakpoint,I
7,19,0.0327056111172229,Breakpoint,I
7,20,0.0323054110772149,Breakpoint,I
7,1,6,Breakpoint,E
7,2,5.0032,Breakpoint,E
7,3,4.000900130021,Breakpoint,E
7,4,3.006600080016,Breakpoint,E
7,5,2.005300130021,Breakpoint,E
7,6,1.03170541107722,Breakpoint,E
7,7,0.0353067313412678,Breakpoint,E
7,8,1.03530673134127,Breakpoint,E
7,9,2.03530673134127,Breakpoint,E
7,10,3.03530673134127,Breakpoint,E
7,11,4.03530673134127,Breakpoint,E
7,12,5.03530673134127,Breakpoint,E
7,13,6.03270561111722,Breakpoint,E
7,14,7.03530673134127,Breakpoint,E
7,15,8.03530673134127,Breakpoint,E
7,16,9.03530673134127,Breakpoint,E
7,17,10.0327056111172,Breakpoint,E
7,18,11.0327056111172,Breakpoint,E
7,19,12.0327056111172,Breakpoint,E
7,20,13.0323054110772,Breakpoint,E
7,1,6,Complete,FN
7,2,5,Complete,FN
7,3,4,Complete,FN
7,4,3,Complete,FN
7,5,2,Complete,FN
7,6,1,Complete,FN
7,7,0,Complete,FN
7,8,0,Complete,FN
7,9,0,Complete,FN
7,10,0,Complete,FN
7,11,0,Complete,FN
7,12,0,Complete,FN
7,13,0,Complete,FN
7,14,0,Complete,FN
7,15,0,Complete,FN
7,16,0,Complete,FN
7,17,0,Complete,FN
7,18,0,Complete,FN
7,19,0,Complete,FN
7,20,0,Complete,FN
7,1,0,Complete,FP
7,2,0,Complete,FP
7,3,0,Complete,FP
7,4,0,Complete,FP
7,5,0,Complete,FP
7,6,0,Complete,FP
7,7,0,Complete,FP
7,8,1,Complete,FP
7,9,2,Complete,FP
7,10,3,Complete,FP
7,11,4,Complete,FP
7,12,5,Complete,FP
7,13,6,Complete,FP
7,14,7,Complete,FP
7,15,8,Complete,FP
7,16,9,Complete,FP
7,17,10,Complete,FP
7,18,11,Complete,FP
7,19,12,Complete,FP
7,20,13,Complete,FP
7,1,6,Complete,E
7,2,5,Complete,E
7,3,4,Complete,E
7,4,3,Complete,E
7,5,2,Complete,E
7,6,1,Complete,E
7,7,0,Complete,E
7,8,1,Complete,E
7,9,2,Complete,E
7,10,3,Complete,E
7,11,4,Complete,E
7,12,5,Complete,E
7,13,6,Complete,E
7,14,7,Complete,E
7,15,8,Complete,E
7,16,9,Complete,E
7,17,10,Complete,E
7,18,11,Complete,E
7,19,12,Complete,E
7,20,13,Complete,E
7,1,3,Incomplete,FN
7,2,3,Incomplete,FN
7,3,2,Incomplete,FN
7,4,2,Incomplete,FN
7,5,1,Incomplete,FN
7,6,1,Incomplete,FN
7,7,0,Incomplete,FN
7,8,0,Incomplete,FN
7,9,0,Incomplete,FN
7,10,0,Incomplete,FN
7,11,0,Incomplete,FN
7,12,0,Incomplete,FN
7,13,0,Incomplete,FN
7,14,0,Incomplete,FN
7,15,0,Incomplete,FN
7,16,0,Incomplete,FN
7,17,0,Incomplete,FN
7,18,0,Incomplete,FN
7,19,0,Incomplete,FN
7,20,0,Incomplete,FN
7,1,0,Incomplete,FP
7,2,0,Incomplete,FP
7,3,0,Incomplete,FP
7,4,0,Incomplete,FP
7,5,0,Incomplete,FP
7,6,0,Incomplete,FP
7,7,0,Incomplete,FP
7,8,0,Incomplete,FP
7,9,1,Incomplete,FP
7,10,1,Incomplete,FP
7,11,1,Incomplete,FP
7,12,1,Incomplete,FP
7,13,1,Incomplete,FP
7,14,1,Incomplete,FP
7,15,1,Incomplete,FP
7,16,1,Incomplete,FP
7,17,1,Incomplete,FP
7,18,1,Incomplete,FP
7,19,1,Incomplete,FP
7,20,2,Incomplete,FP
7,1,3,Incomplete,E
7,2,3,Incomplete,E
7,3,2,Incomplete,E
7,4,2,Incomplete,E
7,5,1,Incomplete,E
7,6,1,Incomplete,E
7,7,0,Incomplete,E
7,8,0,Incomplete,E
7,9,1,Incomplete,E
7,10,1,Incomplete,E
7,11,1,Incomplete,E
7,12,1,Incomplete,E
7,13,1,Incomplete,E
7,14,1,Incomplete,E
7,15,1,Incomplete,E
7,16,1,Incomplete,E
7,17,1,Incomplete,E
7,18,1,Incomplete,E
7,19,1,Incomplete,E
7,20,2,Incomplete,E
7,1,3,Positive,FN
7,2,3,Positive,FN
7,3,2,Positive,FN
7,4,2,Positive,FN
7,5,1,Positive,FN
7,6,1,Positive,FN
7,7,0,Positive,FN
7,8,0,Positive,FN
7,9,0,Positive,FN
7,10,0,Positive,FN
7,11,0,Positive,FN
7,12,0,Positive,FN
7,13,0,Positive,FN
7,14,0,Positive,FN
7,15,0,Positive,FN
7,16,0,Positive,FN
7,17,0,Positive,FN
7,18,0,Positive,FN
7,19,0,Positive,FN
7,20,0,Positive,FN
7,1,0,Positive,FP
7,2,0,Positive,FP
7,3,0,Positive,FP
7,4,0,Positive,FP
7,5,0,Positive,FP
7,6,0,Positive,FP
7,7,0,Positive,FP
7,8,0,Positive,FP
7,9,0,Positive,FP
7,10,0,Positive,FP
7,11,0,Positive,FP
7,12,0,Positive,FP
7,13,0,Positive,FP
7,14,0,Positive,FP
7,15,0,Positive,FP
7,16,0,Positive,FP
7,17,0,Positive,FP
7,18,0,Positive,FP
7,19,0,Positive,FP
7,20,1,Positive,FP
7,1,3,Positive,E
7,2,3,Positive,E
7,3,2,Positive,E
7,4,2,Positive,E
7,5,1,Positive,E
7,6,1,Positive,E
7,7,0,Positive,E
7,8,0,Positive,E
7,9,0,Positive,E
7,10,0,Positive,E
7,11,0,Positive,E
7,12,0,Positive,E
7,13,0,Positive,E
7,14,0,Positive,E
7,15,0,Positive,E
7,16,0,Positive,E
7,17,0,Positive,E
7,18,0,Positive,E
7,19,0,Positive,E
7,20,1,Positive,E
